개런티	개란티
가비지	가비쥐
가솔린	게솔린
개그맨	게그맨
갤러리	갈러리
나치즘	나찌즘
난센스	넌센스
내추럴	내츄럴
다니엘	대니엘
다이얼	다이알
디자인	디쟈인
달링턴	달링톤
댈러스	달라스
라디안	래디안
라디오	레디오
라마단	라마던
라벤더	라벤다
람부탄	램부탄
마그마	매그마
마네킹	마네킨
마리아	마리야
마사지	맛사지
마스터	마스타
마카롱	마카론
바게트	바게뜨
바나나	빠나나
바셀린	바세린
바스켓	배스켓
밧데리	빳데리
빈티지	벤티지
사우나	싸우나
사쿠라	사꾸라
사프란	샤프란
아그니	애그니
아마존	아메존
아이템	아이탬
잠비아	잠비야
재규어	재귀어
자스민	쟈스민
챔피언	챔피온
카디건	가디건
카라반	캐러반
카메오	까메오
카투사	카튜사
카페인	카패인
칵테일	콕테일
타이어	타이아
탄젠트	탄잰트
탱크톱	탱크탑
파울팁	포울팁
파트너	파트나
파티션	파티숀
패키지	패키쥐
하버드	하바드
하울링	호울링
해치백	헤치백
해프닝	헤프닝
핸디캡	헨디캡
핼러윈	할러윈
가드레일	가드래일
가든파티	가든파리
가라오케	가라오께
나가사키	나가사끼
나노미터	나노메타
나르시스	나르시쓰
나폴레옹	나폴레온
나프탈렌	나푸탈렌
내레이션	나레이션
다운타운	도운타운
다이내믹	다이나믹
다이어리	다이아리
다이오드	다이오데
다크서클	다크써클
다크호스	닥크호스
라그랑주	라그랑쥐
라이선스	라이썬스
라파엘로	라파에로
마로니에	마로니애
마르코프	마르코브
마리골드	매리골드
맥도널드	맥도날드
마시멜로	머시멜로
마일스톤	마일즈톤
매너리즘	매나리즘
바겜세일	바긴세일
바운더리	바운다리
바이올렛	바이올랫
바이올린	바이얼린
발렌시아	발랜시아
생제르맹	생제르망
아나콘다	애나콘다
아날로그	어날로그
아날로지	애널로지
아마추어	아마츄어
자메이카	저메이카
잔다르크	쟌다르크
카네이션	카내이션
카리브해	캐리브해
카멜레온	까멜레온
카탈루냐	까탈루냐
카테고리	캐테고리
카페오레	카패오레
